category,product,price
अन्य,उवा १ केजी,NPR 200.00
अन्य,डी.डी.सी डेरी घ्यू १/२ लि,NPR 580.00
अन्य,STC ग्यास सिलिण्डर(Exchange only STC Cylinder),NPR 1910.00
अन्य,गहुँ आटा 5 केजी,NPR 360.00
अन्य,टाइमपास टाइचिन चिउरा १ केजी,NPR 100.00
अन्य,STC ग्यास  सिलिण्‍डर सहित,NPR 4425.00
अन्य,चियापत्ती ५०० ग्राम,NPR 270.00
गेडागुडी,क्वाँटी १ केजी,NPR 145.00
चामल,अरुवा सोना मन्सुली  चामल २५   केजी,NPR 1700.00
चामल,अरुवा मोटा चामल ३० केजी,NPR 1560.00
चामल,हुम्लाको कागुनोको चामल १ केजी,NPR 260.00
चामल,हुम्लाको चिनोको चामल १ केजी,NPR 260.00
चामल,हुम्लाको चिनोको चामल १ केजी,NPR 260.00
चामल,हुम्लाको कागुनोको चामल १ केजी,NPR 260.00
चामल,Long Grain चामल  १० केजी,NPR 1780.00
चामल,काला नुनीया (काला नमक चामल ) 10 kg,NPR 1500.00
चामल,बासमती चामल २०  किलो ग्राम,NPR 2700.00
चामल,मार्सी चामल १ केजी,NPR 230.00
चामल,ब्राउन चामल ५ किलो ग्राम,NPR 325.00
चामल,स्टिम जिरा मसिनो चामल 25 केजी,NPR 2125.00
तेल एवं घ्यू,डी.डी.सी डेरी घ्यू १ लि,NPR 1160.00
तेल एवं घ्यू,भटमासको तेल १ लिटर,NPR 215.00
तेल एवं घ्यू,तोरीको तेल (शान्ती) १ लिटर,NPR 385.00
तेल एवं घ्यू,सनफ्लावर तेल १ लिटर,NPR 220.00
दाल,कर्णालीको सिमि १ केजी,NPR 240.00
दाल,कर्णालीको सिमि १ केजी,NPR 240.00
दाल,मुसुरो दाल(सानो) १ केजी,NPR 165.00
